X = -8.435, Y = 5.014
X = -8.027, Y = 5.012
X = -7.339, Y = 5.009
X = -7.088, Y = 5.008
X = -6.982, Y = 5.008
X = -6.779, Y = 5.007
X = -6.774, Y = 5.007
X = -6.335, Y = 5.005
X = -5.571, Y = 5.002
X = -4.871, Y = 4.999
X = -3.739, Y = -9.519
X = -3.822, Y = -9.221
X = -4.084, Y = -8.285
X = -4.097, Y = -8.238
X = -4.226, Y = -7.777
X = -4.235, Y = -7.744
X = -4.416, Y = -7.098
X = -4.58, Y = -6.51
X = -4.67, Y = -6.187
X = -4.776, Y = -5.806
X = -4.919, Y = -5.292
X = 6.51, Y = -4.731
X = 6.151, Y = -4.795
X = 5.279, Y = -4.95
X = 4.948, Y = -5.009
X = -3.08, Y = 7.344
X = -3.589, Y = 6.723
X = -3.902, Y = 6.34
X = -4.27, Y = 5.891
X = -4.763, Y = 5.29
X = 5.472, Y = 5.338
X = 4.921, Y = 4.943
X = 8.981, Y = 5.915
X = 8.613, Y = 5.831
X = 8.16, Y = 5.727
X = 7.279, Y = 5.525
X = 6.387, Y = 5.32
X = 6.225, Y = 5.282
X = 6.127, Y = 5.259
X = 5.311, Y = 5.071
X = 6.223, Y = -4.467
X = 5.699, Y = -4.696
X = 5.189, Y = -4.918
X = 4.973, Y = -5.012
X = -5.559, Y = 7.18
X = -5.445, Y = 6.735
X = -5.246, Y = 5.959
X = -5.004, Y = 5.015
X = 3.731, Y = -4.087
X = 4.359, Y = -4.539
X = 5.055, Y = -5.04
X = 4.968, Y = -4.977
X = 5.96, Y = -0.595
X = 5.773, Y = -1.452
X = 5.605, Y = -2.222
X = 5.48, Y = -2.796
X = 5.268, Y = -3.769
X = 5.126, Y = -4.419
X = 4.916, Y = -5.388
X = 5.036, Y = -4.835
X = 6.736, Y = -9.237
X = 6.513, Y = -8.692
X = 6.399, Y = -8.413
X = 6.379, Y = -8.364
X = 6.127, Y = -7.749
X = 5.87, Y = -7.122
X = 5.517, Y = -6.26
X = 5.403, Y = -5.983
X = 5.045, Y = -5.11
X = 2.499, Y = 1.274
X = 2.175, Y = 1.109
X = 1.604, Y = 0.818
X = 1.562, Y = 0.796
X = 0.973, Y = 0.496
X = 0.565, Y = 0.288
X = 0.096, Y = 0.049
X = 2.875, Y = -5.238
X = 3.479, Y = -5.171
X = 3.693, Y = -5.147
X = 4.318, Y = -5.077
X = 4.461, Y = -5.061
X = 4.528, Y = -5.053
X = 5.429, Y = -4.952
X = 4.651, Y = -5.039
X = 5.203, Y = -4.977
X = 5.773, Y = -7.145
X = 5.738, Y = -7.048
X = 5.569, Y = -6.578
X = 5.435, Y = -6.206
X = 5.222, Y = -5.615
X = 5.085, Y = -5.234
X = 4.942, Y = -4.839
X = -5.502, Y = 5.176
X = -5.217, Y = 5.076
X = -5.207, Y = 5.072
X = -1.502, Y = 9.197
X = -1.55, Y = 9.139
X = -1.824, Y = 8.81
X = -2.042, Y = 8.548
X = -2.352, Y = 8.176
X = -2.498, Y = 8.0
X = -2.8, Y = 7.638
X = -2.902, Y = 7.516
X = -3.254, Y = 7.094
X = -3.691, Y = 6.57
X = -4.055, Y = 6.134
X = -4.11, Y = 6.068
X = -4.473, Y = 5.632
X = -4.724, Y = 5.331
X = -4.89, Y = 5.131
X = -4.966, Y = 5.04
X = 4.43, Y = 1.058
X = 4.464, Y = 1.362
X = 4.522, Y = 1.755
X = 4.666, Y = 2.728
X = 4.774, Y = 3.464
X = 4.917, Y = 4.431
X = 4.924, Y = 4.481
X = 4.961, Y = 4.734
X = 4.971, Y = 4.803
X = 5.021, Y = 5.144
X = -2.261, Y = -6.275
X = -3.103, Y = -5.883
X = -3.857, Y = -5.532
X = -4.503, Y = -5.231
X = -4.823, Y = -5.082
X = -3.018, Y = -8.651
X = -3.487, Y = -7.786
X = -3.794, Y = -7.219
X = -4.27, Y = -6.344
X = -4.562, Y = -5.806
X = -4.952, Y = -5.088
X = 8.505, Y = -0.668
X = 7.977, Y = -1.32
X = 7.657, Y = -1.716
X = 7.547, Y = -1.852
X = 7.024, Y = -2.498
X = 6.785, Y = -2.794
X = 6.472, Y = -3.181
X = 6.15, Y = -3.579
X = 5.747, Y = -4.077
X = 5.724, Y = -4.106
X = 5.111, Y = -4.864
X = 4.925, Y = -5.093
X = 2.469, Y = -9.083
X = 2.957, Y = -8.295
X = 3.432, Y = -7.529
X = 3.911, Y = -6.756
X = 3.944, Y = -6.702
X = 4.3, Y = -6.128
X = 4.713, Y = -5.462
X = 5.086, Y = -4.863
X = -1.783, Y = 2.181
X = -1.37, Y = 1.676
X = -1.133, Y = 1.386
X = -1.113, Y = 1.362
X = -1.083, Y = 1.325
X = -0.733, Y = 0.897
X = -0.419, Y = 0.513
X = -0.263, Y = 0.322
X = 0.263, Y = -0.321
X = -0.01, Y = 0.012
X = 5.443, Y = 7.646
X = 5.42, Y = 7.508
X = 5.328, Y = 6.956
X = 5.279, Y = 6.661
X = 5.124, Y = 5.742
X = 5.042, Y = 5.253
X = 4.995, Y = 4.973
X = 5.002, Y = 5.012
X = -4.003, Y = -2.63
X = -4.207, Y = -3.114
X = -4.438, Y = -3.663
X = -4.591, Y = -4.027
X = -4.614, Y = -4.081
X = -4.658, Y = -4.186
X = -4.66, Y = -4.192
X = -4.952, Y = -4.886
X = -7.914, Y = 5.548
X = -7.428, Y = 5.457
X = -7.012, Y = 5.379
X = -6.371, Y = 5.258
X = -5.992, Y = 5.187
X = -5.245, Y = 5.046
X = -5.145, Y = 5.027
X = -5.116, Y = 5.022
X = -4.966, Y = 4.994
X = 1.964, Y = -3.503
X = 2.524, Y = -3.761
X = 3.177, Y = -4.088
X = 3.673, Y = -4.336
X = 3.775, Y = -4.387
X = 4.133, Y = -4.566
X = 4.43, Y = -4.715
X = 5.107, Y = -5.054
X = 4.346, Y = -3.19
X = 4.601, Y = -3.894
X = 4.639, Y = -3.999
X = 4.721, Y = -4.226
X = 4.953, Y = -4.871
X = 4.617, Y = 6.543
X = 4.668, Y = 6.337
X = 4.819, Y = 5.727
X = 4.863, Y = 5.552
X = 5.072, Y = 4.711
X = 0.969, Y = -3.118
X = 0.814, Y = -2.621
X = 0.635, Y = -2.045
X = 0.51, Y = -1.644
X = 0.392, Y = -1.264
X = 0.114, Y = -0.366
X = -0.008, Y = 0.025
