X = 0.452, Y = 3.256
X = 0.395, Y = 2.541
X = 0.212, Y = 1.749
X = -0.628, Y = 1.876
X = 0.336, Y = 1.496
X = 0.347, Y = 1.888
X = -0.147, Y = 1.076
X = -1.004, Y = 1.428
X = -1.829, Y = 1.519
X = -2.77, Y = 1.216
X = -3.402, Y = 0.658
X = -3.376, Y = 1.251
X = -4.218, Y = 0.639
X = -3.393, Y = 1.556
X = -2.545, Y = 1.493
X = -2.812, Y = 1.946
X = -2.575, Y = 2.639
X = -3.043, Y = 2.432
X = -3.448, Y = 1.947
X = -2.727, Y = 2.214
X = -2.608, Y = 2.734
X = -2.511, Y = 3.017
X = -1.618, Y = 3.567
X = -1.767, Y = 4.467
X = -1.309, Y = 4.669
X = -1.088, Y = 4.491
X = -1.094, Y = 5.072
X = -1.652, Y = 5.406
X = -1.39, Y = 5.841
X = -2.217, Y = 6.584
X = -2.741, Y = 6.599
X = -3.567, Y = 7.423
X = -4.113, Y = 7.668
X = -4.265, Y = 6.85
X = -4.55, Y = 6.572
X = -4.231, Y = 5.771
X = -4.818, Y = 6.265
X = -3.844, Y = 6.681
X = -3.621, Y = 6.386
X = -3.711, Y = 6.777
X = -3.674, Y = 6.243
X = -2.902, Y = 5.763
X = -2.018, Y = 6.153
X = -1.735, Y = 6.375
X = -0.818, Y = 7.211
X = -0.356, Y = 6.338
X = -0.224, Y = 6.544
X = -0.878, Y = 5.744
X = -1.024, Y = 5.236
X = -1.35, Y = 6.023
X = -0.772, Y = 5.664
X = -1.263, Y = 5.568
X = -1.476, Y = 6.234
X = -0.9, Y = 5.952
X = -0.175, Y = 5.801
X = 0.133, Y = 5.584
X = 0.41, Y = 5.52
X = -0.196, Y = 6.354
X = -0.181, Y = 6.029
X = -0.049, Y = 6.958
X = 0.067, Y = 7.732
X = -0.393, Y = 6.938
X = -1.298, Y = 7.394
X = -0.339, Y = 8.081
X = 0.314, Y = 7.288
X = -0.286, Y = 7.237
X = -0.184, Y = 7.657
X = -0.684, Y = 8.329
X = 0.138, Y = 7.752
X = 0.612, Y = 7.108
X = -0.262, Y = 7.498
X = -0.683, Y = 8.491
X = -0.155, Y = 8.648
X = 0.05, Y = 9.54
X = 0.739, Y = 10.309
X = 1.355, Y = 9.577
X = 1.173, Y = 8.704
X = 0.225, Y = 9.275
X = -0.345, Y = 9.587
X = -0.721, Y = 10.534
X = -1.444, Y = 10.464
X = -0.51, Y = 10.664
X = -0.162, Y = 11.5
X = -0.874, Y = 11.196
X = -1.297, Y = 11.81
X = -0.595, Y = 12.71
X = -0.093, Y = 13.367
X = -0.465, Y = 13.405
X = -0.121, Y = 13.293
X = -0.037, Y = 13.523
X = -0.135, Y = 13.844
X = 0.336, Y = 13.267
X = 0.24, Y = 14.26
X = 0.029, Y = 15.05
X = 0.486, Y = 14.973
X = 0.874, Y = 15.496
X = 0.796, Y = 14.813
X = 0.462, Y = 13.913
X = -0.094, Y = 14.74
X = -1.06, Y = 15.15
